Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
A1BG,0.172769761,0.269739336,0.142211078,0,0.041409462,0.373870363
A1BG-AS1,0.469352486,0.105040111,0,0.004471564,0.127712705,0.293423134
A2M,0.703006548,0.014999354,0.003014808,0.000688623,0,0.278290667
A2ML1,0.758804071,0.014103657,0,0.001028364,0.018638772,0.207425136
A2ML1-AS1,0.097593209,0.212406096,0.062586897,4.50E-08,0.165783803,0.461629951
AAAS,0.123660737,0.329987388,0.132258368,0.008395761,0.16906552,0.236632225
AACS,0.758421545,0.020474573,0.000844433,0.002651677,0.093648633,0.123959139
AAGAB,0.280078057,0.007293596,0.014567217,0,0.212157667,0.485903464
AAK1,0.797832374,0.0349139,0,0,0.067781051,0.099472676
AAMDC,0.551472695,0.038288567,0.007172162,9.75E-11,0.115080277,0.287986299
AAMP,0.012602192,0.538385609,0.068069741,0,0.207488084,0.173454375
AAR2,0.126195246,0.045653667,0,0.000991179,0.150625035,0.676534872
AARS,0.160018565,0.304947085,0,3.45E-08,0.23782391,0.297210406
AARSD1,0.086767441,0.366468169,3.07E-11,0,0.269740448,0.277023942
AASDH,0.479115379,0.170027762,0,0,0.138841897,0.212014962
AASDHPPT,0.082571187,0.109684611,0.490836806,0.009657842,0.123385458,0.183864096
AATF,0.583425962,0.057472234,0.008024452,1.28E-09,0.038242699,0.312834653
AATK,0.729312292,0.043042452,7.35E-11,2.39E-11,0.022412091,0.205233165
ABCA1,0.626037952,0.006947885,0,8.06E-11,0.059843143,0.307171021
ABCA10,0.640477495,0.088005051,0.088053014,2.67E-05,0.064765637,0.118672078
ABCA12,0.336771792,0.051248654,0.000936646,3.50E-10,0.062880078,0.548162829
ABCA2,0.776547872,0.03384826,3.27E-11,0,0.005714435,0.183889434
ABCA3,0.3891378,0.190276579,0,0.014650479,0.201858768,0.204076374
ABCA5,0.817649112,0.013938696,0.010080448,7.48E-11,0.0729039,0.085427844
ABCA6,0.582359112,0.03883167,0.025539126,7.08E-11,0.056004517,0.297265574
ABCA7,0.241345035,0.177114705,2.97E-10,3.70E-10,0.276528089,0.305012171
ABCA8,0.878835767,0.00138206,0.000429672,0.000275012,0.002523941,0.116553547
ABCB1,0.228944064,0.043702449,0,0,0.191008253,0.536345234
ABCB9,0.587640454,0.056132907,2.08E-09,0.015456822,0.167621248,0.173148567
ABCC1,0.685311701,0.0542902,0.010126835,6.24E-05,0.085311361,0.164897519
ABCC10,0.068969853,0.224425719,0,0.01021999,0.297122245,0.399262194
ABCC4,0.835044598,0.001527259,0.000903837,2.86E-11,0,0.162524305
ABCC5,0.425562205,0.117573136,0,0.009756358,0.173313546,0.273794755
ABCC8,0.625522325,0.04351076,0,0.009462484,0.088903963,0.232600468
ABCC9,0.672054844,0.002011797,0.001817782,0,0,0.324115577
ABCD4,0.177032624,0.184161379,0.037646446,0.005408323,0.233567462,0.362183766
ABCE1,0.366310389,0.054228461,0.013643832,0.000252353,0.135647668,0.429917298
ABCF1,0.125804569,0.308273232,0.0226327,0.003026162,0.243696336,0.296567001
ABCF2,0.079944182,0.416648117,3.61E-08,7.99E-09,0.122527326,0.380880331
ABCF3,0.044837471,0.38995918,0.055143831,0.002768819,0.173514954,0.333775745
ABCG1,0.750964217,0.015320601,0,0,0.031829423,0.20188576
ABCG2,0.367631011,0.01748801,0.003442513,1.34E-10,0.00627388,0.605164587
ABCG4,0.513198763,0.169078006,0.001628614,0.001172846,0.047601915,0.267319855
ABCG5,0.499299014,0.042357197,0.028685611,0.000890763,0.047619435,0.381147981
ABCG8,0.611490577,0.000245677,5.95E-10,0.000251579,0.068697953,0.319314213
ABHD12,0.706383447,0.069305278,2.00E-11,2.09E-11,0.044324124,0.179987151
ABHD12B,0.64532433,0.006960787,0.01089301,0.002332598,0.046336592,0.288152684
ABHD13,0.158875014,0.008422982,0.01300193,3.97E-11,0.447799941,0.371900133
ABHD14A,0.12734269,0.416171308,0.031335172,1.15E-08,0.174405379,0.25074544
ABHD14B,0.070940387,0.326089537,0.022812677,0.00152612,0.190224903,0.388406376
ABHD15-AS1,0.361569973,0.118371668,0.002715125,9.69E-06,0.058878057,0.458455482
ABHD16A,0.065736554,0.517662826,0.019533006,0,0.152203792,0.244863821
ABHD17A,0.35076345,0.287135837,0,0.004403005,0.103739021,0.253958687
ABHD17B,0.872103988,0.003886247,1.50E-11,0,0.016164568,0.107845197
ABHD17C,0.697468202,0.007576871,0.000199875,0.000664327,0.066505091,0.227585633
ABHD18,0.438185906,0,4.13E-10,0.015952924,0.312223424,0.233637746
ABHD2,0.847967214,0.003362824,0.00989526,9.57E-05,0.00855617,0.130122863
ABHD3,0.353977303,0.009923619,0.0120831,2.78E-07,0.191243761,0.432771939
ABHD5,0.367944549,0.00539581,7.04E-11,0,0.104345205,0.522314436
ABHD6,0.752225939,0.002957962,0,2.42E-10,0.078317096,0.166499003
ABHD8,0.317239813,0.31522846,0,0.001726655,0.119089041,0.246716032
ABI1,0.797319907,0.031993427,5.71E-05,0.000452755,0.019598938,0.150577921
ABI2,0.688898269,0.022038298,0.014075803,1.19E-08,0.073520282,0.201467336
ABI3BP,0.792886352,0.00273145,0.000893697,0,0,0.203488501
ABITRAM,0.25335303,0.19464481,0.107437762,0.006150187,0.125612047,0.312802164
ABL1,0.73455628,0.046070841,0.00082153,0.006700388,0.077892709,0.133958252
ABL2,0.451835525,0.092761522,0.03171073,2.48E-07,0.090537105,0.33315487
ABLIM1,0.912621406,0.014666262,0.001001896,0,0.003073509,0.068636927
ABLIM2,0.627363926,0.062751224,0.022793054,0.007286482,0.130485153,0.149320162
ABLIM3,0.708821571,0.050034745,0.014456933,1.72E-08,0.04982086,0.176865873
ABO,0.842185229,0.001363479,0,0.000977265,0.010059736,0.145414291
ABR,0.803453288,0.014625435,0,0,0.02404558,0.157875697
ABRACL,0.279423278,0.231703475,0.026080075,1.01E-09,0.10238963,0.360403541
ABRAXAS1,0.340649085,0.060512401,0.011205628,4.39E-08,0.057913991,0.529718852
ABRAXAS2,0.277819098,0.011251759,0.006159815,0,0.112175807,0.592593522
ABTB1,0.188437745,0.356780922,0.059453164,0.000679876,0.144931934,0.249716359
ABTB2,0.744883406,0.009254134,0.000448267,0.000808271,0.024387942,0.220217981
AC002064.1,0.382777698,0.015067648,0.025981496,3.05E-06,0.128796336,0.447373767
AC002066.1,0.569901566,0.011257833,0.01112456,0.002604362,0.039057051,0.366054628
AC002069.2,0.506538393,0.021513317,0,0,0.022598878,0.449349412
AC002070.1,0.651292139,0.01504702,0.008377203,0.003432249,0.041297162,0.280554228
AC002116.2,0.006758984,0.343544151,0.251951253,0.006673311,0.157792915,0.233279386
AC002383.1,0.362385704,0.084021163,0.002002512,0.002334338,0.20941189,0.339844394
AC002429.2,0.762225581,0.002845257,0.000628664,0.00096392,7.43E-10,0.233336578
AC002451.1,0.704857516,2.17E-10,0.000810053,3.99E-11,0.032978203,0.261354228
AC002460.2,0.768493307,0.043411241,0,7.70E-10,0.040256825,0.147838627
AC002463.1,0.068620484,0.335936912,0.229294194,4.65E-08,0.174569877,0.191578487
AC002558.3,0.074363267,0.250396958,0.010938188,0.000217856,0.289989919,0.374093813
AC003044.1,0.753849546,0,0.002585348,0.00220012,0.065643501,0.175721486
AC003093.1,0.441748564,0.01726953,0,0.0002229,0.160829203,0.379929803
AC003102.1,0.276166193,0.10933064,0,0.005626714,0.092875012,0.516001442
AC003681.1,0.224679537,0.14281327,0.018008198,3.42E-06,0.188090036,0.426405542
AC003991.1,0.335965742,0.003518773,0,0,0.069551894,0.590963591
AC004034.1,0.029706187,0.278476179,0.11010589,0.003248068,0.238565681,0.339897994
AC004039.1,0.074452563,0.32766236,0.081158163,4.74E-10,0.262994014,0.2537329
AC004053.1,0.132867031,0.278637008,0.088343408,0,0.151659029,0.348493523
AC004083.1,0.568473825,0.034956725,0.01220147,0,0.17284366,0.21152432
AC004112.1,0.218941244,0.111293679,0.044792457,0,0.17166687,0.45330575
AC004158.1,0.78831256,0.000533389,0.003495484,9.96E-09,0.015557263,0.192101294
AC004160.1,0.513315392,0,0,0,0.136065965,0.350618643
AC004241.1,0.315148415,0.107985825,0.065300136,0,0.061182247,0.450383378
AC004253.1,0.047526428,0.242120278,0.019712897,0,0.28481613,0.405824266
AC004448.2,0.05228579,0.140304024,0.090211533,0.001686487,0.177986593,0.537525574
AC004485.1,0.6842758,0,0.000565636,0.000523802,0.042567395,0.272067368
AC004522.3,0.391277237,0.017631196,0.009205698,0,0.165776497,0.416109372
AC004540.1,0.524871573,1.46E-10,0.017975924,0.009068786,0.195027324,0.253056393
AC004594.1,0.266933624,0.12269832,0.104673205,0.002593772,0.066026041,0.437075038
AC004690.2,0.82849074,0,2.83E-10,2.45E-11,0.003630641,0.167878618
AC004784.1,0.550281328,0.018415765,0,4.55E-05,0.111861175,0.319396272
AC004797.1,0.087402482,0.328357524,0.171647594,9.92E-10,0.195011793,0.217580606
AC004816.1,0.485797609,0.095631638,5.23E-05,0,0.101017292,0.31750117
AC004817.5,0.188563322,0.023425476,0,0,0.109872051,0.678139151
AC004834.1,0.164781629,0.002649188,0,0.008620428,0.326945898,0.497002857
AC004837.4,0.069702812,0.146470861,0.002624007,0,0.133994005,0.647208314
AC004852.2,0.95098263,0.000395308,1.02E-05,1.04E-06,0,0.048610867
AC004918.1,0.558449436,0.074465101,0.052269995,0.000263576,0.01311233,0.301439564
AC004943.2,0.461323859,0.021519891,0.008580075,0,0.089288494,0.419287681
AC004951.1,0.053472271,0.242738718,0.014947083,0,0.519546842,0.169295086
AC004982.1,0.303976138,0.03003289,0.00141936,0,0.084235774,0.580335837
AC004982.2,0.321571281,0.125036238,0.006185634,3.17E-10,0.144098447,0.4031084
AC005009.2,0.283467323,0.196068074,0.114972607,0,0.036126978,0.369365018
AC005037.1,0.108299151,0.265999001,0.015935631,5.40E-09,0.250359843,0.359406369
AC005041.5,0.027519242,0.322589573,0.26713235,0.001496795,0.161179627,0.220082413
AC005062.1,0.730200748,0.003787622,3.85E-10,0,0.017303912,0.248707716
AC005070.3,0.146736243,0.148206991,0,1.59E-10,0.312350806,0.392705959
AC005081.1,0.41957924,0.065310212,0.039981599,0.029521702,0.131379082,0.314228164
AC005089.1,0.449727569,0.098482855,0.001515434,5.25E-09,0.1440183,0.306255836
AC005162.3,0.704780059,0.003072581,0.011883896,0,0.021790839,0.258472625
AC005165.1,0.672075585,0.004708162,0.001095384,0,0.015485918,0.306634951
AC005225.2,0.607165684,0.058708894,9.52E-09,0.009155051,0.161471441,0.16349892
AC005225.3,0.226322,0.049805607,8.82E-09,3.29E-10,0.18435263,0.539519754
AC005237.1,0.135614798,0.125237181,0.151676866,0,0.156360389,0.431110765
AC005261.1,0.361789882,0.120497751,0.015071091,0.004342504,0.163997287,0.334301484
AC005332.3,0.08893839,0.045446398,7.99E-10,0.003821174,0.21977526,0.642018778
AC005332.4,0.664590357,0.031473462,0.001980835,6.11E-09,0.031669049,0.270286291
AC005332.6,0.196941565,0.158424516,0,2.47E-08,0.101277688,0.543356207
AC005355.1,0.293396227,0,0,0.006319669,0.275247626,0.425036477
AC005400.1,0.155204341,0.183027229,0.105636833,0.001026791,0.105240804,0.449864001
AC005410.2,0.0902202,0.055214238,0.016494607,0.014938027,0.142943054,0.680189873
AC005476.2,0.383960887,2.05E-10,0.004627821,0.000837902,0.068294954,0.542278436
AC005480.1,0.072898136,0.27237861,0.198706654,0.0043885,0.256416156,0.195211944
AC005498.3,0.356002705,0.063912393,2.50E-10,0.002962105,0.189510449,0.387612347
AC005520.5,0.12859165,0.255929274,0,0,0.35749013,0.257988947
AC005537.1,0.763191702,0.024607777,0.004672886,2.42E-10,0.055472121,0.152055514
AC005562.1,0.560536643,0.016599969,0,0.011365553,0.101272048,0.310225787
AC005609.5,0.28561384,0.019195024,0.002186346,6.93E-10,0.096689112,0.596315678
AC005632.3,0.452561676,0.080884901,0.012327187,8.68E-07,0.030778543,0.423446825
AC005670.3,0.459080184,1.26E-10,0,0.01048111,0.191994689,0.338444017
AC005695.2,0.057973902,0.37189574,0.076399023,5.26E-10,0.216257621,0.277473714
AC005696.4,0.313623981,0.184275178,0.004708897,2.46E-09,0.078257236,0.419134705
AC005699.1,0.530440103,0.020995477,0.000890269,0.000690533,0.010013866,0.436969752
AC005703.4,0.203541387,0.10718179,0.01331552,3.56E-10,0.194143782,0.481817521
AC005726.1,0.370660191,0.099754789,0.009600746,0,0.259267679,0.260716595
AC005726.3,0.261746963,0.170566042,0.005948822,0,0.174648837,0.387089336
AC005726.5,0.021799483,0.331030449,0.230328944,0.009204472,0.235710435,0.171926217
AC005740.5,0.636869776,0.03431768,0.002696727,0.006503523,0.085085908,0.234526385
AC005753.2,0.288183811,9.95E-10,3.07E-11,1.17E-08,0.449068273,0.262747903
AC005786.3,0.230432326,0.181280026,0,5.68E-11,0.175551951,0.412735697
AC005838.2,0.09568442,0.134234787,0,0.001401863,0.249808086,0.518870844
AC005884.1,0.031913876,0.35283169,0.192907134,0,0.16283673,0.25951057
AC005899.1,0.162551014,0.034638033,1.55E-08,0.003424669,0.111222381,0.688163888
AC005899.5,0.105281998,0.1063784,0.038704637,2.69E-06,0.156047333,0.593584942
AC005899.7,0.119792468,0.095801233,5.97E-10,0.00056326,0.100136744,0.683706295
AC005899.8,0.061572736,0.316771708,0.030086302,0.011112052,0.33217717,0.248280032
AC005906.2,0.75717612,0.009525875,0.032549196,3.17E-06,0.03561836,0.165127279
AC005908.3,0.717985627,1.04E-09,0.00637104,0.002281079,0.049784173,0.22357808
AC005909.2,0.57116781,0.020744867,0,0.001327612,0.030793016,0.375966695
AC005920.2,0.012038475,0.394538227,0.112095402,3.96E-06,0.276704704,0.20461923
AC005921.2,0.019255357,0.392788803,0.179660101,0,0.156674631,0.251621108
AC005972.3,0.647827773,0.015008036,0.010884183,0.003962907,0.069912917,0.252404184
AC005999.2,0.702862105,0.009579892,0,0,0.038301812,0.249256191
AC006001.2,0.533275917,0.047668463,5.00E-09,3.33E-11,0.168223673,0.250831943
AC006041.2,0.564052304,0.045925054,0.002939041,0.009369185,0.114510971,0.263203446
AC006058.1,0.79302472,0.012795326,0,6.28E-10,0.03096742,0.163212533
AC006059.1,0.758691546,0.02422336,0.035510031,0,0.020813614,0.160761449
AC006112.1,0.588449915,0.121394415,1.01E-10,0.005214294,0.049832103,0.235109273
AC006115.2,0.624906689,0.06465014,0,0,0.121577568,0.188865604
AC006116.8,0.111876213,0.26858878,0.086298813,0.001195972,0.167697343,0.364342879
AC006141.1,0.183770967,0.146064771,0.034617583,0,0.170910774,0.464635905
AC006148.1,0.658047992,0.084461233,0.008602544,0.001642153,0.094963082,0.152282997
AC006160.1,0.224202178,0.130874479,0.017736208,0,0.029123187,0.598063948
AC006213.2,0.175247013,0.20719674,0.180503039,0,0.07984802,0.357205188
AC006213.3,0.372972296,0.061072784,0.000214737,0,0.157353575,0.408386608
AC006230.1,0.751242934,0.006572618,0.000166929,0.000682477,0,0.241335041
AC006262.1,0.256375936,0.092361636,2.44E-09,0.005841803,0.121006334,0.524414288
AC006299.1,0.630066321,0.009311546,0,0,0.015885907,0.344736226
AC006348.1,0.313146695,0.032955095,0.006699586,0.00699952,0.081680659,0.558518444
AC006355.2,0.161582253,0.30130943,0.035497044,0,0.186365237,0.315246036
AC006387.1,0.014561224,0.011925174,9.15E-05,0.001030552,0.065263381,0.90712814
AC006460.2,0.602406579,0.047785965,3.35E-06,0.001650506,0.071583826,0.276569777
AC006480.2,0.124869037,0.17190818,0.001521212,0.019975377,0.213885458,0.467840736
AC006504.5,0.746007357,0.041123828,0.004514191,0.001740898,0.080188368,0.126425357
AC006511.4,0.453778704,0.057591425,3.09E-10,0.004086789,0.144281538,0.340261544
AC006547.1,0.186258184,0.211418223,0.035673577,0.007455983,0.212172539,0.347021494
AC006581.2,0.443154188,0.043587499,4.05E-11,0.006018264,0.12953237,0.377707679
AC006994.2,0.216909509,0.004592827,0.008438757,0,0.461915536,0.308143371
AC007014.1,0.095977199,0.363090748,0.006157823,0,0.219822467,0.314951762
AC007038.1,0.289982337,0.044149155,0,0,0.305640325,0.360228184
AC007038.2,0.118651345,0.177307636,0.034120033,0,0.156080804,0.513840182
AC007091.1,0.595553875,0.015644276,0.001844386,0.011428436,0.034389855,0.341139172
AC007098.1,0.160807505,0.280873801,0.156911002,0,0.152546596,0.248861095
AC007099.1,0.015793762,0.102736485,0.013013888,0,0.511320294,0.357135571
AC007114.1,0.155980009,0.050354907,0.010175606,4.54E-10,0.096797013,0.686692463
AC007114.2,0.095893038,0.253321711,0.072954434,4.76E-09,0.176715191,0.401115622
AC007193.2,0.40810357,0.044262905,0,0,0.023217834,0.52441569
AC007216.4,0.270651935,0.075557369,0.005518412,0.020541547,0.263799674,0.363931062
AC007220.1,0.427564749,0.049585642,3.46E-09,1.07E-09,0.110229199,0.412620405
AC007221.1,0.574795975,0.011408775,0,0,0.057050922,0.356744327
AC007255.1,0.068398184,0.039340494,0.005249986,0.000658967,0.330742896,0.555609473
AC007262.2,0.399393955,0.017856941,0.019602778,0.002307933,0.235345758,0.325492634
AC007285.1,0.146279225,0.08356422,0.001308965,1.39E-05,0.110406904,0.658426746
AC007319.1,0.206557162,0.012147387,0,0.006542596,0.141022397,0.633730458
AC007364.1,0.725457898,0.043886104,0.006816879,1.36E-08,0.039582522,0.184256583
AC007368.1,0.800009698,0.031599155,0,2.53E-11,0.020889433,0.147501715
AC007376.2,0.562187863,0.041152728,0,0.000460359,0.030628972,0.365570079
AC007384.1,0.094684965,0.320083588,0.1680635,5.81E-11,0.179340951,0.237826996
AC007389.1,0.618637645,0.02223908,0.011715681,0.007887345,0.150827945,0.188692304
AC007390.2,0.162467301,0.105471508,0.013872337,1.87E-07,0.0864792,0.631709467
AC007402.1,0.49542664,0.040288842,0.007595193,0,0.084572569,0.372116756
AC007405.1,0.845904901,0.000352844,0.000286709,0.00130058,0.01929877,0.132856196
AC007405.3,0.317784787,0.171162227,0.029370888,0,0.048265591,0.433416508
AC007406.5,0.072266019,0.152656475,0.011061079,0,0.27700931,0.487007117
AC007448.5,0.193698163,0.025147273,0,0.008337486,0.195395892,0.577421185
AC007563.2,0.736076024,0.026163179,0.014227155,0,0.048670485,0.174863157
AC007566.1,0.853905781,0.019054206,0.002349328,1.58E-05,0.027348043,0.097326844
AC007611.1,0.474630382,0,0.003297105,0.003508547,0.040299502,0.478264465
AC007614.1,0.671073336,0.011346553,0.000252403,0.000988396,0.00433544,0.312003873
AC007619.1,0.103853783,0.083883022,0.008162626,1.17E-09,0.258961491,0.545139076
AC007656.2,0.771990871,0.010598033,3.44E-11,0,0.01773742,0.199673676
AC007666.2,0.386841025,0.053431143,0.020434798,0.000800422,0.063267287,0.475225326
AC007681.1,0.309829845,0.018920557,0,2.01E-10,0.061463901,0.609785696
AC007686.4,0.309052933,0.045559213,0,0,0.225066931,0.420320924
AC007780.1,0.311306804,0,0.003057393,1.53E-07,0.275203705,0.410431945
AC007785.1,0.439201134,0.101860774,0.047434829,0.000929124,0.165697477,0.244876663
AC007785.3,0.58821949,0.028187317,0.01527981,0.01143056,0.115683008,0.241199815
AC007878.1,0.241090848,0.175383742,6.65E-10,2.87E-08,0.078951076,0.504574304
AC007938.3,0.44720487,0.088576487,0.003732051,0.00171835,0.167523731,0.291244511
AC007952.4,0.304973911,0.041393753,0,1.44E-08,0.098968958,0.554663363
AC007996.1,0.45855132,0.123378651,0.002268383,0.001949825,0.054334439,0.359517382
AC008014.1,0.500664669,0.051724718,0.009467769,4.11E-07,0.089464098,0.348678334
AC008050.1,0.519403934,0.001822923,0,0,0.005308105,0.473465039
AC008056.1,0.08988749,0.351933608,0.09746023,0,0.190284742,0.27043393
AC008067.1,0.127300262,0.235134482,0.089784528,0.003242365,0.187397806,0.357140557
AC008079.1,0.083246547,0.179781077,0.142818701,0,0.126077173,0.468076502
AC008105.1,0.457741092,0.160661622,0.031789389,0.010740557,0.060497881,0.278569458
AC008105.3,0.681584822,0.024171635,0,0.001838476,0.061393071,0.231011997
AC008115.2,0.069423286,0.300744232,0.233753758,0.000679168,0.162775762,0.232623794
AC008124.1,0.596129552,0.050484323,0.015178059,0.000617652,0.07232251,0.265267903
AC008127.1,0.77647129,0.007890325,0,1.93E-07,0.023291015,0.192347176
AC008267.5,0.070553436,0.303844248,0.043795408,0,0.1400385,0.441768407
AC008269.1,0.780254019,0.034880807,8.20E-05,2.37E-10,0.071265681,0.113517533
AC008415.1,0.802237349,0.003433841,0.00227039,0,0.011802455,0.180255965
AC008438.1,0.310296878,0.191381153,0.078552307,0.018523334,0.134121727,0.267124602
AC008438.2,0.294272641,0.02111142,0.004283634,3.21E-10,0.144634026,0.535698279
AC008440.1,0.159752527,0.016001822,0,0.004557721,0.078699284,0.740988647
AC008443.1,0.516588183,0.041963103,0.001683895,0.005770535,0.097209039,0.336785245
AC008443.5,0.03480792,0.411943947,0.148381589,0,0.126079568,0.278786977
AC008462.1,0.271135138,0.07779394,0.004306132,0.013393841,0.156381564,0.476989385
AC008543.1,0.324136763,0.008982886,0,5.85E-11,0.109617846,0.557262505
AC008571.2,0.688855888,0.010452397,0,0.000841293,0,0.299850422
AC008574.1,0.830193814,0.003276457,0.00719429,0,0.00768667,0.151648769
AC008591.1,0.648736116,0.025996521,0.004746729,0,0.086103178,0.234417457
AC008610.1,0.16278258,0.198753826,0.010630551,0.029440765,0.168762391,0.429629886
AC008629.1,0.619798599,0.00525125,0.000493457,3.83E-11,0.127079384,0.247377309
AC008667.1,0.390771981,0.057018843,0.022285201,0.004733752,0.11722376,0.407966462
AC008691.1,0.580532554,0.00501114,0.002282724,8.44E-06,0,0.412165148
AC008696.2,0.227968529,0.138803154,4.01E-08,1.13E-09,0.098534646,0.534693629
AC008708.2,0.328630505,0.164374357,0.040668854,0,0.100628043,0.365698241
AC008731.1,0.014535546,0.436954502,0.212086493,0.003148644,0.199615393,0.133659422
AC008735.2,0.162482587,0.236950997,0.004502813,0.000809004,0.165983341,0.429271258
AC008764.8,0.077238707,0.144795519,0.032347036,0.026237717,0.140089766,0.579291255
AC008771.1,0.159199497,0.313234493,0.126811098,0,0.10978038,0.290974532
AC008780.1,0.323768456,0.223440014,0.061500454,8.28E-11,0.037872181,0.353418895
AC008892.1,0.275141476,0.11536172,0.019057025,0,0.072768991,0.517670788
AC008946.1,0.143188842,0.12111429,0.000365142,0,0.315054215,0.420277511
AC008957.1,0.618971597,0.018941448,0.001307011,0.001370262,0.008644888,0.350764793
AC008957.2,0.363549856,0.059953342,0,6.35E-11,0.004232235,0.572264567
AC008969.1,0.35071349,0.124751045,4.94E-10,0.014375433,0.267353423,0.242806609
AC009041.2,0.571207144,0.086422291,0.01319698,0,0.08154459,0.247628995
AC009060.1,0.00513222,0.356256412,0.112039493,0.023012901,0.336249648,0.167309326
AC009061.2,0.225943381,0.0593847,4.55E-10,0.002122394,0.348967675,0.363581849
AC009063.2,0.749657489,0.002822313,0,0,0.006515606,0.241004592
AC009093.2,0.715139246,0.019119543,0.017430166,3.56E-11,0.02230376,0.226007286
AC009107.2,0.021981712,0.494692906,0.128164051,1.15E-08,0.237907512,0.117253807
AC009113.1,0.311022457,0.1702933,0.003213158,0.006626734,0.060563235,0.448281115
AC009118.3,0.1565174,0.232997831,0.02298606,0.002243412,0.119229884,0.466025411
AC009120.2,0.065573118,0.261898947,0.036829748,0,0.455726326,0.179971861
AC009126.1,0.663005655,0.054221946,0,0,0.097414992,0.185357408
AC009133.1,0.054128633,0.220135627,0.086842684,0.004549534,0.143800692,0.49054283
AC009148.1,0.303278427,0.036282906,0,4.36E-10,0.105834599,0.554604068
AC009226.1,0.540714297,0.00709691,0.001645587,0.001502596,0.010546708,0.438493901
AC009228.1,0.312025134,0.06306497,0,0.009066836,0.176800041,0.439043019
AC009264.1,0.180960513,0.154739976,0.069285897,0.001973408,0.100593608,0.492446598
AC009299.3,0.35390846,0.004472918,1.13E-09,1.06E-09,0.1594241,0.482194519
AC009318.1,0.20345194,0.020086131,0,5.76E-07,0.294858796,0.481602558
AC009403.1,0.036020994,0.245634697,0,0.014369617,0.252990546,0.450984146
AC009403.2,0.638456572,0.005694136,9.41E-11,0,0.05975271,0.296096582
AC009407.1,0.172138429,0.096997892,0.000980525,0,0.127214888,0.602668266
AC009435.1,0.435830688,0.03509166,0,0.000112413,0.224041972,0.304923267
AC009501.3,0.051368151,0.339977697,0.034082459,8.30E-11,0.312215516,0.262356176
AC009505.1,0.213339538,0.159411828,0.00753574,0,0.076344926,0.543367968
AC009522.1,0.371716141,0.031399009,0.014353352,0,0.21841572,0.364115778
AC009554.1,0.047507778,0.294249853,0.017990458,0,0.370399064,0.269852846
AC009630.1,0.431839651,0.013434609,0.007330004,0.002257756,0.128730096,0.416407883
AC009690.2,0.031271584,0.380981091,0.144230069,1.36E-08,0.299866186,0.143651056
AC009812.1,0.123759643,0.119171534,0.006702924,8.48E-09,0.097432568,0.652933323
AC009879.4,0.834854738,0.001576541,0.000746285,2.87E-05,1.72E-09,0.162793723
AC009899.1,0.781831992,0.04179557,0,0.003957825,0.052346522,0.12006809
AC009950.1,0.694699139,0.012704439,0.003343781,0,0.006329234,0.282923408
AC009961.1,0.451886363,0.026617174,0.001775069,2.26E-06,0.111349416,0.408369722
AC009975.1,0.529731409,0.003789581,0.001387036,8.96E-09,0.034696994,0.430394971
AC009996.1,0.075694887,0.052201619,1.06E-10,3.84E-08,0.057908853,0.814194603
AC010092.1,0.166859802,3.04E-10,0.033750513,2.61E-10,0.078714865,0.720674819
AC010168.1,0.053475094,0.262522848,0.125338965,0,0.207287268,0.351375826
AC010168.2,0.2053,0.022287181,0,0.006074039,0.038911408,0.727427372
AC010175.1,0.339929221,0.06013257,0.000450687,0.001777888,0.017086916,0.580622718
AC010198.1,0.237757292,0.003004397,0.000497021,0.019867114,0.152373189,0.586500987
AC010201.3,0.673106863,0.018120218,0.015062603,0.00304782,0.061841544,0.228820953
AC010210.1,0.431861104,0.070486651,0.007579575,0,0.204712046,0.285360623
AC010226.1,0.395129067,0.06241301,0.02071858,0,0.034507884,0.487231459
AC010230.1,0.499900454,0.015908864,7.47E-11,7.76E-08,0.051985876,0.432204728
AC010273.2,0.090226577,0.12669175,0.020684167,0.003718909,0.161430187,0.59724841
AC010280.1,0.625673065,0.053503801,0.010268494,1.54E-10,0.091245296,0.219309343
AC010359.3,0.754425597,0.017683419,0.000121634,0,0.011640094,0.216129256
AC010476.2,0.209469654,0.007887587,0.004412901,1.42E-10,0.337811309,0.440418549
AC010538.1,0.54818447,0.019044481,1.33E-10,1.27E-06,0.095841387,0.336928388
AC010615.2,0.241705973,0.199098542,0.085920563,8.13E-10,0.17383585,0.299439072
AC010618.3,0.420764723,0.091406729,0.000913867,0.007912259,0.187380499,0.291621924
AC010623.1,0.20789655,0.079641973,0.002081142,0,0.083785302,0.626595033
AC010624.5,0.055160601,0,0,1.01E-10,0.448062903,0.496776496
AC010632.1,0.123191445,0.221495907,0.060121894,0.000533653,0.212772011,0.381885089
AC010642.2,0.103623077,0.346430703,0.088300269,0,0.108004911,0.353641039
AC010680.1,0.34774112,0.105621327,8.03E-05,0,0.091171407,0.455385811
AC010735.2,0.306981209,0.023528834,2.26E-07,1.56E-07,0.234927151,0.434562424
AC010789.2,0.060332714,0.07031275,0.003212797,0,0.110920131,0.755221608
AC010809.1,0.203200409,0.012601688,0.018030464,0.002531825,0.147291083,0.61634453
AC010884.1,0.255426899,0.014558591,0.02319021,0,0.268002908,0.438821392
AC010894.3,0.33499177,0.147653182,0.035732642,0,0.022780222,0.458842185
AC010969.2,0.151035765,0.058795131,0,0,0.077094962,0.713074143
AC010974.2,0.377410064,0.091168816,0.002979477,0,0.05150884,0.476932804
