Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
TMEM132A,0.220020814,0.215417821,0.261685027,0,0.083406277,0.21947006
TMEM132B,0.777146341,0.061032857,0.017887152,0.004407454,0.053381123,0.086145073
TMEM132C,0.890005897,0.004228141,0.003102278,0,0.001800633,0.10086305
TMEM132D,0.872097309,0.025133029,0.000744793,0.000802031,0.019544459,0.081678378
TMEM132E,0.72770719,0.006794095,0.00037051,0.001343413,0.036012192,0.2277726
TMEM134,0.010580741,0.561180252,0.128747771,0.000900845,0.140814648,0.157775743
TMEM135,0.574425539,0.170425015,0,1.25E-09,0.073702814,0.181446631
TMEM138,0.126689163,0.300535479,0.032236547,0.020984837,0.116605593,0.402948382
TMEM140,0.586383935,0.017971245,0,0.000216299,0.03524812,0.3601804
TMEM141,0.069165149,0.389622762,0.064943843,0,0.128611514,0.347656733
TMEM144,0.918787436,0.001408102,4.52E-05,2.66E-11,0.000821416,0.078937855
TMEM145,0.400058686,0.240702281,0.051261923,0.007561723,0.107927664,0.192487722
TMEM147,0.018004587,0.504380261,0.070124778,4.39E-11,0.279232832,0.128257542
TMEM147-AS1,0.089325437,0.112125487,0.00951877,0.012683759,0.098785495,0.677561052
TMEM14A,0.217473418,0.329780856,0.045084939,0,0.166889979,0.240770807
TMEM14B,0.255896817,0.084193167,4.73E-08,0,0.373237709,0.28667226
TMEM150A,0.239985968,0.256596418,0.050461892,0.005024327,0.075068481,0.372862915
TMEM150C,0.777551937,0.002466735,5.76E-05,0.000448592,0.041245077,0.178230104
TMEM151A,0.367746206,0.289304673,0.045887563,0.000849005,0.052092627,0.244119926
TMEM151B,0.52350549,0.251226774,0.00014419,0.00372268,0.049625646,0.171775221
TMEM154,0.633361685,0.003043665,0.000541805,0.000524189,0,0.362528656
TMEM155,0.297665786,0.225554359,0.105533956,0,0.053220237,0.318025662
TMEM160,0.098932243,0.383669967,0.038357186,0.003323617,0.16401786,0.311699127
TMEM161A,0.065671311,0.22130074,0.058016282,0.008174469,0.289551709,0.357285488
TMEM161B,0.105275788,0.342146328,0.031766881,0.002705592,0.203649207,0.314456204
TMEM161B-AS1,0.487973455,0.062319195,0.027085501,0,0.234502222,0.188119627
TMEM163,0.343331768,0.005265209,0.000167364,1.45E-07,0,0.651235514
TMEM165,0.937213838,0.00030694,0,1.34E-09,0.005677981,0.05680124
TMEM167A,0.2752906,0.190177778,0.249462905,0.006698742,0.072486877,0.205883097
TMEM167B,0.069752169,0.277957616,0.130264788,0.001216507,0.124848979,0.395959941
TMEM168,0.708196789,0.042010565,0.004035833,0,0.071094719,0.174662094
TMEM169,0.446168403,0.063898992,0.014458817,0.007189112,0.110124078,0.358160598
TMEM170A,0.236371362,0.164783397,0.01101894,0.006048016,0.083444864,0.498333422
TMEM170B,0.407336521,0.046375501,5.75E-11,0,0.196242584,0.350045394
TMEM175,0.028789453,0.494433076,0.117759202,0.02177653,0.204985545,0.132256194
TMEM178A,0.804292257,0.027161706,0.001564145,0,0.049762687,0.117219205
TMEM178B,0.798062457,0.056247756,0.001519326,0.00323921,0.05360227,0.087328981
TMEM179,0.328556689,0.008586023,0,2.54E-08,0.370870987,0.291986276
TMEM179B,0.153238199,0.399308362,0.140834793,0,0.082023738,0.224594908
TMEM18,0.04885596,0.378171252,0.00609952,0.004978184,0.22058937,0.341305714
TMEM181,0.451245545,0.052111619,3.31E-09,0.003703409,0.132681423,0.360258001
TMEM182,0.527050019,0.001571691,0.00868946,0.001206421,0.06734034,0.394142069
TMEM183A,0.170759718,0.290373292,0.008598721,1.86E-09,0.119692571,0.410575696
TMEM184B,0.500544326,0.144798326,3.94E-09,0.0159788,0.102420651,0.236257893
TMEM184C,0.111232686,0.1777951,2.10E-10,3.22E-06,0.225986511,0.484982484
TMEM185B,0.265563438,0.15460453,0.074402862,2.47E-08,0.027566779,0.477862366
TMEM189,0.43560414,0.171124178,1.43E-10,0,0.071863335,0.321408346
TMEM19,0.226181507,0.293939211,0.099634101,0,0.057705034,0.322540148
TMEM191C,0.16141903,0.319446473,0.070590911,0.003524401,0.177044502,0.267974683
